"Idx","SeqId","AltSeqId","TId","Layer","Trace","Direction","Sub","Module","Op","Kernel","Params","Sil(ns)","TC","Device","Stream","Grid","Block","FLOPs","Bytes"
"18","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","16","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2464","-","0","7","1,1,1","128,1,1","1.0","8"
"19","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","17","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2464","-","0","7","1,1,1","128,1,1","1.0","8"
"20","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","18","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2464","-","0","7","1,1,1","128,1,1","1.0","8"
"21","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","19","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2528","-","0","7","1,1,1","128,1,1","1.0","8"
"22","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","20","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2400","-","0","7","1,1,1","128,1,1","1.0","8"
"23","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","21","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2464","-","0","7","1,1,1","128,1,1","1.0","8"
"24","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","22","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2272","-","0","7","1,1,1","128,1,1","1.0","8"
"25","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","23","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2304","-","0","7","1,1,1","128,1,1","1.0","8"
"26","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","24","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2304","-","0","7","1,1,1","128,1,1","1.0","8"
"27","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","25","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2400","-","0","7","1,1,1","128,1,1","1.0","8"
